Experiement ,Condition,Replicant,Spikes,Seconds ,Spikes/Sec,
Full/Half,Full,1,636,5,127.2,
Full/Half,Full,2,31,5,6.2,
Full/Half,Full,3,167,5,33.4,
Full/Half,Full,4,517,5,103.4,
Full/Half,Full,5,498,5,99.6,
Full/Half,Full,6,500,5,100,78.3
Full/Half,Half,1,239,5,47.8,
Full/Half,Half,2,210,5,42,
Full/Half,Half,3,176,5,35.2,
Full/Half,Half,4,338,5,67.6,
Full/Half,Half,5,432,5,86.4,
Full/Half,Half,6,288,5,57.6,56.1
Up/Down,Up,1,322,5,64.4,
Up/Down,Up,2,665,5,133,
Up/Down,Up,3,239,5,47.8,
Up/Down,Up,4,642,5,128.4,
Up/Down,Up,5,261,5,52.2,
Up/Down,Up,6,437,5,87.4,85.53333333
Up/Down,Down,1,790,5,158,
Up/Down,Down,2,676,5,135.2,
Up/Down,Down,3,1060,5,212,
Up/Down,Down,4,563,5,112.6,
Up/Down,Down,5,460,5,92,
Up/Down,Down,6,535,5,107,136.1333333
Fast/Slow,Fast,1,77,1,77,
Fast/Slow,Fast,2,69,1,69,
Fast/Slow,Fast,3,78,1,78,
Fast/Slow,Fast,4,103,1,103,
Fast/Slow,Fast,5,156,1,156,
Fast/Slow,Fast,6,174,1,174,109.5
Fast/Slow,Slow,1,860,5,172,
Fast/Slow,Slow,2,651,5,130.2,
Fast/Slow,Slow,3,490,5,98,
Fast/Slow,Slow,4,267,5,53.4,
Fast/Slow,Slow,5,579,5,115.8,
Fast/Slow,Slow,6,731,5,146.2,119.2666667
Long,Long,1,2923,20,146.15,
Long,Long,2,2791,20,139.55,
Long,Long,3,3629,20,181.45,
Long,Long,4,1728,20,86.4,
Long,Long,5,1688,20,84.4,
Long,Long,6,1818,20,90.9,121.475
2 Stim. ,Two,1 & 2,694,5,138.8,
3 Stim. ,Two,2 & 3,921,5,184.2,
4 Stim. ,Two,3 & near,1023,5,204.6,
5 Stim. ,Two,4 & 5,723,5,144.6,
6 Stim. ,Two,5 & 6,817,5,163.4,
7 Stim. ,Two,6 & near,489,5,97.8,155.5666667
