experiment,age,well shape,opacity,light,min,n,n wells,time interval,time moving (s),distance moved (mm)
dti,5dpf,round,clear,on,2.5,32,96,Start-0:02:30,,308.136
dti,5dpf,round,clear,off,2.5,32,96,0:02:30-0:05:00,,371.163
dti,5dpf,round,clear,on,2.5,32,96,0:05:00-0:07:30,,191.565
dti,5dpf,round,clear,off,2.5,32,96,0:07:30-0:10:00,,270.191
dti,5dpf,round,clear,on,2.5,32,96,Start-0:02:30,,442.391
dti,5dpf,round,clear,off,2.5,32,96,0:02:30-0:05:00,,344.383
dti,5dpf,round,clear,on,2.5,32,96,0:05:00-0:07:30,,456.759
dti,5dpf,round,clear,off,2.5,32,96,0:07:30-0:10:00,,370.519
dti,5dpf,round,clear,on,2.5,32,96,Start-0:02:30,,94.3412
dti,5dpf,round,clear,off,2.5,32,96,0:02:30-0:05:00,,218.852
dti,5dpf,round,clear,on,2.5,32,96,0:05:00-0:07:30,,339.384
dti,5dpf,round,clear,off,2.5,32,96,0:07:30-0:10:00,,252.421
dti,5dpf,round,clear,on,2.5,32,96,Start-0:02:30,,92.7869
dti,5dpf,round,clear,off,2.5,32,96,0:02:30-0:05:00,,303.091
dti,5dpf,round,clear,on,2.5,32,96,0:05:00-0:07:30,,75.2354
dti,5dpf,round,clear,off,2.5,32,96,0:07:30-0:10:00,,268.003
dti,5dpf,round,clear,on,2.5,32,96,Start-0:02:30,,99.447
dti,5dpf,round,clear,off,2.5,32,96,0:02:30-0:05:00,,196.553
dti,5dpf,round,clear,on,2.5,32,96,0:05:00-0:07:30,,60.9618
dti,5dpf,round,clear,off,2.5,32,96,0:07:30-0:10:00,,210.732
dti,5dpf,round,clear,on,2.5,32,96,Start-0:02:30,,230.11
dti,5dpf,round,clear,off,2.5,32,96,0:02:30-0:05:00,,142.847
dti,5dpf,round,clear,on,2.5,32,96,0:05:00-0:07:30,,201.821
dti,5dpf,round,clear,off,2.5,32,96,0:07:30-0:10:00,,231.38
dti,5dpf,round,clear,on,5,32,96,Start-0:05:00,,263.229
dti,5dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,110.348
dti,5dpf,round,clear,on,5,32,96,Start-0:05:00,,835.487
dti,5dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,449.11
dti,5dpf,round,clear,on,5,32,96,Start-0:05:00,,622.987
dti,5dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,216.981
dti,5dpf,round,clear,on,5,32,96,Start-0:05:00,,272.417
dti,5dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,285.087
dti,5dpf,round,clear,on,5,32,96,Start-0:05:00,,104.127
dti,5dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,116.077
dti,5dpf,round,clear,on,5,32,96,Start-0:05:00,,138.422
dti,5dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,246.91
dti,5dpf,round,clear,on,10,32,96,Start-0:10:00,,227.883
dti,5dpf,round,clear,off,10,32,96,0:10:00-0:20:00,,905.213
dti,5dpf,round,clear,on,10,32,96,0:20:00-0:30:00,,88.2798
dti,5dpf,round,clear,off,10,32,96,0:30:00-0:40:00,,586.629
dti,5dpf,round,clear,on,10,32,96,Start-0:10:00,,635.765
dti,5dpf,round,clear,off,10,32,96,Start-0:10:00,,680.651
dti,5dpf,round,clear,on,10,32,96,0:10:00-0:20:00,,1146.47
dti,5dpf,round,clear,off,10,32,96,0:20:00-0:30:00,,880.449
dti,5dpf,round,clear,on,10,32,96,0:30:00-0:40:00,,1043.16
dti,5dpf,round,clear,off,10,32,96,Start-0:10:00,,1492.79
dti,5dpf,round,clear,on,10,32,96,0:10:00-0:20:00,,1612.96
