min,age,mm
1,5dpf,16.0903925
2,5dpf,16.08729
3,5dpf,18.581375
4,5dpf,20.08745
5,5dpf,57.499025
6,5dpf,74.22165
7,5dpf,71.491675
8,5dpf,72.354025
9,5dpf,24.79595
10,5dpf,18.85856
11,5dpf,20.19097
12,5dpf,21.295825
1,6dpf,37.37841
2,6dpf,41.169775
3,6dpf,30.9300075
4,6dpf,35.35315
5,6dpf,41.5769325
6,6dpf,64.299
7,6dpf,36.1757275
8,6dpf,56.329125
9,6dpf,14.411805
10,6dpf,19.252675
11,6dpf,13.9328275
12,6dpf,20.833025
1,7dpf,36.888975
2,7dpf,34.99265
3,7dpf,31.22255
4,7dpf,32.7271
5,7dpf,57.37265
6,7dpf,59.072875
7,7dpf,57.120575
8,7dpf,54.57935
9,7dpf,19.565675
10,7dpf,20.11835
11,7dpf,21.51575
12,7dpf,21.839425
