age,min,plate,light,time,n,mm_mean,mm_sem,velocity,sem (some sort),,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,on,Start-0:02:30,32,308.136,245.647,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,off,0:02:30-0:05:00,32,371.163,244.768,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,on,0:05:00-0:07:30,32,191.565,93.9366,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,off,0:07:30-0:10:00,32,270.191,211.688,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,on,Start-0:02:30,32,442.391,235.395,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,off,0:02:30-0:05:00,32,344.383,36.4051,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,on,0:05:00-0:07:30,32,456.759,197.973,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,off,0:07:30-0:10:00,32,370.519,64.2479,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,on,Start-0:02:30,32,94.3412,41.8524,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,off,0:02:30-0:05:00,32,218.852,27.6473,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,on,0:05:00-0:07:30,32,339.384,142.705,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,off,0:07:30-0:10:00,32,252.421,35.6067,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,on,Start-0:02:30,32,92.7869,16.7705,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,off,0:02:30-0:05:00,32,303.091,16.3875,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,on,0:05:00-0:07:30,32,75.2354,15.2111,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,off,0:07:30-0:10:00,32,268.003,16.4098,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,on,Start-0:02:30,32,99.447,53.4902,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,off,0:02:30-0:05:00,32,196.553,24.4152,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,on,0:05:00-0:07:30,32,60.9618,17.4965,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,off,0:07:30-0:10:00,32,210.732,22.1093,,,,,,,,,,,,,,,,,,,,,,,
