opacity,time,n,mean,time
clear trial 2,basal,48,159.895,20.7363
clear trial 2,stimulus1,48,427.06,25.4998
clear trial 2,recovery,48,116.883,15.099
clear trial 2,stimulus2,48,256.919,26.2547
clear trial 4,basal,48,147.707,13.16
clear trial 4,stimulus1,48,415.959,18.2533
clear trial 4,recovery,48,83.6714,6.50839
clear trial 4,stimulus2,48,353.157,19.738
opaque trial 1,basal,48,873.411,237.041
opaque trial 1,stimulus1,48,959.467,176.609
opaque trial 1,recovery,48,1226.71,400.025
opaque trial 1,stimulus2,48,1130.08,309.643
opaque trial 3,basal,48,488.072,48.1297
opaque trial 3,stimulus1,48,824.94,191.493
opaque trial 3,recovery,48,575.3,307.968
opaque trial 3,stimulus2,48,822.612,267.931
