"","Participant","MAAS_1","MAAS_2","MAAS_3","MAAS_4","MAAS_5","MAAS_6","MAAS_7","MAAS_8","MAAS_9","MAAS_10","MAAS_11","MAAS_12","MAAS_13","MAAS_14","MAAS_15","Nomo1_1","Nomo1_2","Nomo1_3","Nomo1_4","Nomo1_5","Nomo1_6","Nomo1_7","Nomo1_8","Nomo1_9","Nomo2_1","Nomo2_2","Nomo2_3","Nomo2_4","Nomo2_5","Nomo2_6","Nomo2_7","Nomo2_8","Nomo2_9","Nomo2_10","Nomo2_11","sleep_hours","sleep_quality","sleep_effects","sleep_onset","sleep_phone","SSS.1","SSS.2","SSS.3","SSS.4","SSS.5","SSS.6","SSS.7","SSS.8","SSS.9","SSS.10","SSS.11","SSS.12","SSS.13","SSS.14","SSS.15","SSS.16","SSS.17","SSS.18","SSS.19","SSS.20","SSS.21","SSS.22","SSS.23","SSS.24","SSS.25","SSS.26","SSS.27","SSS.28","SSS.29","SSS.30","SSS.31","SSS.32","SSS.33","SSS.34","SSS.35","SSS.36","SSS.37","SSS.38","SSS.39","SSS.40","Reliance_1","Reliance_2","Reliance_3","Reliance_4","Reliance_5","Reliance_6","Reliance_7","Reliance_8","Reliance_9","Reliance_10","Reliance_11","Reliance_12","Reliance_13","ASRS1_1","ASRS1_2","ASRS1_3","ASRS1_4","ASRS1_5","ASRS1_6","ASRS2_1","ASRS2_2","ASRS2_3","ASRS2_4","ASRS2_5","ASRS2_6","ASRS2_7","ASRS2_8","ASRS2_9","ASRS2_10","ASRS2_11","ASRS2_12","Sex","Gender","Age","Race.s.","OwnSP","SPhours_1","OwnSW","id","ADHD1","ADHD2","ADHD3","ADHD4","ADHD5","ADHD6","ADHD7","ADHD8","ADHD9","ADHD10","ADHD11","ADHD12","ADHD13","ADHD14","ADHD15","ADHD16","ADHD17","ADHD18","MAAS_avg","NOMO_sum","ADHD_sum","SSS_sum","reliance_sum","ADHD_z","NOMO_z","SSS_z","reliance_z","MAAS_z","SSS_TAS","SSS_ES","SSS_Dis","SSS_BS"
"1",1,3,2,4,1,4,2,5,5,4,3,2,3,4,3,4,4,2,3,6,6,2,5,5,7,5,6,6,6,6,6,4,5,5,2,2,8,4,3,3,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,2,3,4,4,3,4,2,2,4,4,2,3,0,0,1,3,3,2,2,3,1,2,2,2,2,1,1,0,0,1,2,2,3,"1",1,5.7,2,NA,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3.26666666666667,93,4,24,38,-0.670200727406583,0.524041492968725,0.997198137837658,-0.378532531078303,-0.493902270655292,6,7,8,4
"2",2,3,4,3,3,2,3,4,3,3,3,4,6,2,3,5,2,5,3,5,4,3,2,5,5,4,5,5,3,6,2,1,1,1,5,4,9,3,2,7,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,4,2,2,3,4,3,4,4,3,4,3,4,4,2,1,1,3,4,2,1,2,1,1,4,0,3,4,2,2,2,2,2,2,2,"1",1,3.2,2,NA,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,3.4,71,8,21,44,0.532218224705228,-0.436373233646542,0.484953199664208,0.300599362915123,-0.323325973358914,7,5,3,5
"4",4,5,5,4,3,6,4,5,5,6,3,4,6,3,5,5,4,5,4,5,3,3,4,5,5,5,5,5,4,4,4,2,2,2,3,3,8,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,3,2,4,2,3,3,3,3,4,3,4,4,2,1,0,2,3,0,2,1,1,1,2,0,2,1,2,1,0,1,2,2,2,"1",1,8,2,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,77,2,4,42,-1.27141020346249,-0.174441944569651,-2.41776811665201,0.0742220649173141,1.21186070230849,0,0,0,3
"5",5,3,4,5,6,4,2,3,4,3,4,5,6,2,3,3,5,4,2,5,2,2,3,5,6,3,5,5,4,5,2,1,1,1,3,2,7,3,3,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,3,3,1,4,3,2,4,1,4,3,4,2,3,2,1,3,2,3,2,1,2,2,4,2,1,2,2,2,3,1,1,2,2,4,"1",1,6,1,21976,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,3.8,66,6,10,37,-0.0689912513506776,-0.654649307877285,-1.39327824030511,-0.491721180077207,0.188402918530221,0,4,3,2
"6",6,2,4,1,1,4,5,4,3,3,3,1,5,3,2,2,7,7,5,7,7,3,5,7,7,7,7,7,7,7,7,7,5,3,2,2,8,4,2,2,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,5,5,4,5,5,5,5,3,5,4,4,2,3,0,0,2,1,3,3,2,1,1,2,3,0,4,3,1,2,2,1,2,2,2,"1",1,6,1,22387,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,2.86666666666667,116,7,22,55,0.231613486677275,1.52811143443014,0.655701512388691,1.54567450190307,-1.00563116254443,8,5,6,2
"8",8,3,4,4,3,5,4,3,3,2,5,4,2,2,3,2,6,6,4,6,4,4,5,3,6,5,6,5,5,6,6,3,2,6,3,5,6,2,3,2,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,5,5,2,5,4,4,4,5,2,5,3,5,5,0,1,1,3,3,3,3,3,2,1,2,1,3,4,3,2,3,3,2,2,2,"1",1,5.1,2,21880,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,3.26666666666667,96,12,26,54,1.73463717681704,0.655007137507171,1.33869476328662,1.43248585290417,-0.493902270655292,10,5,8,3
"9",9,3,6,3,3,2,4,3,5,5,5,5,3,2,3,6,1,1,4,6,5,1,5,4,2,5,7,5,6,7,3,1,1,2,5,1,8,4,4,3,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,4,4,4,4,3,1,4,3,5,4,0,0,0,2,2,0,0,3,1,0,3,0,3,2,0,1,2,0,2,2,2,"1",1,4,2,18280,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3.86666666666667,72,3,16,40,-0.970805465434535,-0.392718018800394,-0.368788363958207,-0.152155233080494,0.27369106717841,7,3,4,1
"10",10,6,6,5,2,6,2,3,4,5,5,5,4,2,4,6,5,6,5,5,3,2,3,3,6,5,2,5,5,3,2,1,5,3,1,1,8,3,3,3,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,4,2,2,4,2,2,4,2,3,3,2,4,4,3,1,1,3,3,2,2,2,1,2,2,1,2,1,2,3,2,2,2,2,5,"1",1,2,1,5866,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4.33333333333333,71,5,18,38,-0.36959598937863,-0.436373233646542,-0.0272917385092412,-0.378532531078303,0.870708107715733,5,7,3,2
"11",11,3,3,3,4,5,2,3,2,3,4,3,3,3,3,3,6,5,2,4,3,2,1,7,5,6,6,6,6,6,4,3,2,2,2,5,8,3,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,4,4,4,4,3,4,3,5,5,5,4,4,5,1,1,2,3,2,1,2,4,2,2,1,0,2,1,1,2,0,2,2,2,2,"1",1,5.1,2,22264,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3.13333333333333,83,6,16,54,-0.0689912513506776,0.08748934450724,-0.368788363958207,1.43248585290417,-0.66447856795167,8,5,0,3
"12",12,5,2,2,2,4,5,4,4,4,2,3,3,4,3,2,5,6,2,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,8,3,2,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,4,4,4,4,5,4,4,2,4,4,4,5,5,2,1,3,3,3,1,2,2,1,2,3,1,2,1,2,3,3,4,2,2,1,"1",1,1.5,1,22108,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3.26666666666667,127,8,26,53,0.532218224705228,2.00831879773778,1.33869476328662,1.31929720390526,-0.493902270655292,8,5,10,3
