"","Participant","MAAS_1","MAAS_2","MAAS_3","MAAS_4","MAAS_5","MAAS_6","MAAS_7","MAAS_8","MAAS_9","MAAS_10","MAAS_11","MAAS_12","MAAS_13","MAAS_14","MAAS_15","Nomo1_1","Nomo1_2","Nomo1_3","Nomo1_4","Nomo1_5","Nomo1_6","Nomo1_7","Nomo1_8","Nomo1_9","Nomo2_1","Nomo2_2","Nomo2_3","Nomo2_4","Nomo2_5","Nomo2_6","Nomo2_7","Nomo2_8","Nomo2_9","Nomo2_10","Nomo2_11","sleep_hours","sleep_quality","sleep_effects","sleep_onset","sleep_phone","SSS.1","SSS.2","SSS.3","SSS.4","SSS.5","SSS.6","SSS.7","SSS.8","SSS.9","SSS.10","SSS.11","SSS.12","SSS.13","SSS.14","SSS.15","SSS.16","SSS.17","SSS.18","SSS.19","SSS.20","SSS.21","SSS.22","SSS.23","SSS.24","SSS.25","SSS.26","SSS.27","SSS.28","SSS.29","SSS.30","SSS.31","SSS.32","SSS.33","SSS.34","SSS.35","SSS.36","SSS.37","SSS.38","SSS.39","SSS.40","Reliance_1","Reliance_2","Reliance_3","Reliance_4","Reliance_5","Reliance_6","Reliance_7","Reliance_8","Reliance_9","Reliance_10","Reliance_11","Reliance_12","Reliance_13","ASRS1_1","ASRS1_2","ASRS1_3","ASRS1_4","ASRS1_5","ASRS1_6","ASRS2_1","ASRS2_2","ASRS2_3","ASRS2_4","ASRS2_5","ASRS2_6","ASRS2_7","ASRS2_8","ASRS2_9","ASRS2_10","ASRS2_11","ASRS2_12","Sex","Gender","Age","Race.s.","OwnSP","SPhours_1","OwnSW","id","ADHD1","ADHD2","ADHD3","ADHD4","ADHD5","ADHD6","ADHD7","ADHD8","ADHD9","ADHD10","ADHD11","ADHD12","ADHD13","ADHD14","ADHD15","ADHD16","ADHD17","ADHD18","MAAS_avg","NOMO_sum","ADHD_sum","SSS_sum","reliance_sum","ADHD_z","NOMO_z","SSS_z","reliance_z","MAAS_z","SSS_TAS","SSS_ES","SSS_Dis","SSS_BS"
"3",3,2,4,3,3,2,3,2,2,2,2,5,4,3,2,5,5,6,3,5,5,6,7,3,7,5,6,6,5,6,3,2,2,2,6,5,7,3,2,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,5,4,4,5,4,4,4,4,2,4,3,4,4,2,3,1,4,3,2,3,2,2,1,2,1,2,2,3,0,1,2,1,1,2,"1",1,5,1,NA,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,2.93333333333333,95,8,15,51,0.532218224705228,0.611351922661022,-0.539536676682691,1.09291990590745,-0.920343013896237,7,3,3,1
"7",7,5,6,6,6,6,4,5,6,5,5,5,6,6,6,6,2,5,2,5,2,2,2,2,2,3,5,3,5,3,3,2,2,2,3,2,8,4,4,2,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,3,3,3,2,3,1,1,0,2,1,1,2,2,1,1,1,0,1,0,1,0,0,1,1,1,3,"1",1,4,2,22339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53333333333333,57,0,19,30,-1.87261967951839,-1.04754624149262,0.143456574215242,-1.28404172306954,2.40589478338314,10,4,3,1
"15",15,4,6,3,2,4,1,5,5,2,5,3,4,2,4,6,1,1,1,1,1,5,2,3,3,1,1,1,1,1,1,1,1,1,1,2,8,5,5,2,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,5,1,0,1,1,4,3,1,2,1,1,3,1,1,3,2,1,0,1,1,1,1,"1",1,1.5,2,22018,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,3.73333333333333,30,4,27,22,-0.670200727406583,-2.22623704233863,1.50944307601111,-2.18955091506077,0.103114769882032,9,8,5,5
"20",20,2,3,3,2,2,3,3,3,2,3,3,2,2,3,3,5,6,4,5,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,7,4,2,2,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,1,2,1,2,2,2,2,2,1,2,3,2,2,3,1,1,1,1,3,"1",1,2.7,2,22270,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2.6,54,5,25,29,-0.36959598937863,-1.17851188603107,1.16794645056214,-1.39723037206844,-1.34678375713718,10,4,7,3
"26",26,3,5,3,3,2,3,4,3,3,3,3,4,3,4,5,2,2,2,2,2,2,3,2,3,2,2,2,2,5,2,2,2,2,2,2,5,2,3,10,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,2,1,1,2,2,2,4,2,2,2,4,2,3,3,2,1,3,3,2,2,3,2,1,2,1,3,2,1,2,1,1,1,1,4,"1",1,2.6,2,13345,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,3.4,45,8,27,29,0.532218224705228,-1.5714088196464,1.50944307601111,-1.39723037206844,-0.323325973358914,9,10,6,3
"27",27,3,3,1,4,6,2,3,3,2,3,2,4,1,2,1,5,6,5,6,5,4,4,2,6,5,6,6,6,6,6,4,3,5,5,6,6,2,2,9,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,4,2,3,2,4,3,4,1,3,4,4,5,5,0,1,2,4,2,3,3,2,2,2,2,0,1,3,2,2,3,2,1,1,2,"1",1,4.1,2,22348,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,2.66666666666667,101,9,29,44,0.83282296273318,0.873283211737914,1.85093970146007,0.300599362915123,-1.26149560848899,10,5,10,4
"28",28,5,6,6,3,5,4,5,5,4,4,5,6,4,5,6,5,6,2,4,2,2,5,1,4,3,3,2,3,4,3,1,2,2,3,2,8,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,2,2,1,3,4,2,4,1,2,4,3,2,4,1,0,1,2,2,1,1,2,1,1,2,0,1,0,1,2,1,2,1,1,2,"1",1,3,1,22024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.86666666666667,59,2,13,34,-1.27141020346249,-0.960235811800325,-0.881033302131657,-0.83128712707392,1.55301329690125,7,2,3,1
"30",30,5,6,2,3,3,1,3,3,2,3,3,4,4,3,3,5,6,2,4,2,2,3,5,2,5,5,3,5,5,2,2,2,2,5,5,7,4,3,5,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,4,3,4,2,2,3,3,3,4,3,3,3,3,4,1,2,4,4,4,2,1,1,2,2,2,1,1,1,1,3,"1",1,4,2,NA,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,3.2,72,9,34,39,0.83282296273318,-0.392718018800394,2.70468126508249,-0.265343882079399,-0.57919041930348,10,8,8,7
"33",33,5,5,4,2,6,4,4,4,3,4,3,4,3,4,3,6,5,2,5,5,4,6,6,6,5,5,5,5,5,5,5,5,5,2,5,7,4,4,2,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,4,4,4,4,4,4,4,2,5,4,4,4,4,0,1,2,1,4,2,2,2,1,1,2,0,3,2,3,2,1,1,1,1,1,"1",1,8.1,2,21964,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3.86666666666667,97,5,28,51,-0.36959598937863,0.698662352353319,1.68019138873559,1.09291990590745,0.27369106717841,8,7,9,3
"34",34,5,5,5,3,5,5,6,6,5,6,3,6,3,4,6,2,5,3,5,5,2,5,2,6,3,6,6,5,5,4,3,3,3,3,1,7,4,4,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,1,3,4,3,4,4,2,3,4,3,2,2,2,1,2,2,3,3,2,2,1,1,1,1,1,0,1,0,0,1,1,1,2,"1",1,2,1,22045,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.86666666666667,77,4,28,37,-0.670200727406583,-0.174441944569651,1.68019138873559,-0.491721180077207,1.55301329690125,9,6,9,4
